"Endpoint Name","HTTP Method","URL Path","Description","Parameters","Example Request"
"Basic Job Search","GET","/api/jobs/","Retrieves jobs based on keyword and location.","keyword (string, required), location (string, required)","http://localhost:8000/api/jobs/?keyword=python%20developer&location=san%20francisco"
"Filter by Date Posted","GET","/api/jobs/date-posted/","Filter jobs by how recently they were posted.","keyword (string, required), location (string, required), date_posted (enum: day, week, month)","http://localhost:8000/api/jobs/date-posted/?keyword=software%20engineer&location=new%20york&date_posted=week"
"Filter by Job Type","GET","/api/jobs/type/","Filter jobs by employment type.","keyword (string, required), location (string, required), job_type (enum: fulltime, parttime, contract, internship)","http://localhost:8000/api/jobs/type/?keyword=data%20analyst&location=chicago&job_type=fulltime"
"Filter by Experience Level","GET","/api/jobs/experience/","Filter jobs by required experience level.","keyword (string, required), location (string, required), experience (enum: entry, associate, mid, senior, director)","http://localhost:8000/api/jobs/experience/?keyword=product%20manager&location=seattle&experience=senior"
"Filter by Company","GET","/api/jobs/company/","Filter jobs by specific company names.","keyword (string, required), location (string, required), company (string: comma-separated list)","http://localhost:8000/api/jobs/company/?keyword=engineer&location=austin&company=Google,Microsoft,Apple"
"Filter by Remote/Workplace Type","GET","/api/jobs/remote/","Filter jobs by workplace arrangement.","keyword (string, required), location (string, required), workplace (enum: all, onsite, remote, hybrid)","http://localhost:8000/api/jobs/remote/?keyword=frontend%20developer&location=boston&workplace=remote"
"Advanced Combined Filters","GET","/api/jobs/advanced/","Combine multiple filters for precise job searches.","keyword (string, required), location (string, required), date_posted (optional), job_type (optional), experience (optional), company (optional), workplace (optional)","http://localhost:8000/api/jobs/advanced/?keyword=machine%20learning&location=san%20francisco&date_posted=week&job_type=fulltime&experience=mid&workplace=remote"
"Advanced Combined Filters","GET","/api/jobs/advanced/","Advanced search with combined filters. Supports all filter types in a single request. Includes intelligent error handling for restrictive filter combinations.","keyword, location, date_posted, job_type, experience, workplace, company","curl 'http://localhost:8000/api/jobs/advanced/?keyword=Python&location=India&date_posted=month&job_type=fulltime&experience=entry&workplace=remote'"
"Filter Warning System","FEATURE","","Automatic detection when filters are too restrictive","When >50% of results are internships despite requesting full-time jobs, API provides suggestions to improve results","Response includes 'filter_warning' object with suggestions and recommended parameters"
"Intelligent Suggestions","FEATURE","","Smart recommendations for filter optimization","API analyzes results and suggests which filters to remove or modify for better matches","Suggests removing 'experience=entry' or 'workplace=remote' when combination yields few results"
"Relaxed Filter Params","FEATURE","","Automatic generation of improved query parameters","Provides ready-to-use query string with relaxed filters for immediate retry","Returns 'suggested_query_params' field with optimized filter combination"
